Datum;Sat;Energija;Cijena;Status ukljucivanja
01.08.2025;1;0,0;105,13;True
01.08.2025;2;0,0;98,22;True
01.08.2025;3;0,0;91,03;True
01.08.2025;4;0,0;87,03;True
01.08.2025;5;0,0;92,17;True
01.08.2025;6;0,2784;100,26;True
01.08.2025;7;15,836799999999998;105,25;True
01.08.2025;8;93,096;109,17;True
01.08.2025;9;244,5824;105,5;True
01.08.2025;10;329,8736;90,19;True
01.08.2025;11;475,4864;67,09;True
01.08.2025;12;480,0592;65,96;True
01.08.2025;13;474,05760000000004;67,7;True
01.08.2025;14;484,6576;65,73;True
01.08.2025;15;472,0416;52,05;True
01.08.2025;16;473,0448;52,79;True
01.08.2025;17;414,4336;75,44;True
01.08.2025;18;286,6432;89,71;True
01.08.2025;19;93,0576;120,71;True
01.08.2025;20;20,3632;133,95;True
01.08.2025;21;1,4512;153,4;True
01.08.2025;22;0,0;152,02;True
01.08.2025;23;0,0;129,18;True
01.08.2025;24;0,0;111,07;True
02.08.2025;1;0,0;113,45;True
02.08.2025;2;0,0;98,74;True
02.08.2025;3;0,0;95,4;True
02.08.2025;4;0,0;89,65;True
02.08.2025;5;0,0;88,75;True
02.08.2025;6;0,0656;88,5;True
02.08.2025;7;11,345600000000001;87,09;True
02.08.2025;8;47,931200000000004;82,45;True
02.08.2025;9;155,0016;71,78;True
02.08.2025;10;228,4944;50,86;True
02.08.2025;11;220,44;29,68;True
02.08.2025;12;445,91999999999996;5,68;True
02.08.2025;13;423,0288;2,95;True
02.08.2025;14;433,7856;0,0;True
02.08.2025;15;263,368;0,0;True
02.08.2025;16;416,6895999999999;0,0;True
02.08.2025;17;261,8032;5,72;True
02.08.2025;18;170,22879999999998;64,81;True
02.08.2025;19;47,28639999999999;96,19;True
02.08.2025;20;12,6128;115,38;True
02.08.2025;21;0,4704;138,39;True
02.08.2025;22;0,0;124,47;True
02.08.2025;23;0,0;110,86;True
02.08.2025;24;0,0;94,23;True
03.08.2025;1;0,0;88,45;True
03.08.2025;2;0,0;77,65;True
03.08.2025;3;0,0;70,32;True
03.08.2025;4;0,0;70,26;True
03.08.2025;5;0,0;68,16;True
03.08.2025;6;0,0016;62,25;True
03.08.2025;7;12,6224;47,97;True
03.08.2025;8;63,6736;26,27;True
03.08.2025;9;116,08959999999999;6,16;True
03.08.2025;10;45,9856;0,0;True
03.08.2025;11;62,265600000000006;-1,01;False
03.08.2025;12;101,17920000000001;-2,1;False
03.08.2025;13;127,56479999999999;-3,0;False
03.08.2025;14;347,0048;-9,9;False
03.08.2025;15;386,648;-10,08;False
03.08.2025;16;353,9952;-4,98;False
03.08.2025;17;255,3888;-0,89;False
03.08.2025;18;226,1152;36,57;True
03.08.2025;19;162,27839999999998;86,42;True
03.08.2025;20;46,0992;94,72;True
03.08.2025;21;5,247999999999999;121,79;True
03.08.2025;22;0,0;110,54;True
03.08.2025;23;0,0;105,08;True
03.08.2025;24;0,0;85,09;True
04.08.2025;1;0,0;82,98;True
04.08.2025;2;0,0;70,07;True
04.08.2025;3;0,0;69,97;True
04.08.2025;4;0,0;69,22;True
04.08.2025;5;0,0;72,03;True
04.08.2025;6;0,0784;92,12;True
04.08.2025;7;14,019200000000001;93,33;True
04.08.2025;8;100,8112;101,16;True
04.08.2025;9;250,0208;95,29;True
04.08.2025;10;394,9504;85,68;True
04.08.2025;11;482,1168;66,7;True
04.08.2025;12;466,8288;49,3;True
04.08.2025;13;463,8624;14,64;True
04.08.2025;14;429,696;4,05;True
04.08.2025;15;407,4384;0,66;True
04.08.2025;16;313,5552;39,66;True
04.08.2025;17;312,512;67,06;True
04.08.2025;18;94,5744;95,51;True
04.08.2025;19;56,776;118,6;True
04.08.2025;20;29,592;149,52;True
04.08.2025;21;1,9424;164,97;True
04.08.2025;22;0,0;117,63;True
04.08.2025;23;0,0;99,52;True
04.08.2025;24;0,0;78,87;True
05.08.2025;1;0,0;56,9;True
05.08.2025;2;0,0;16,02;True
05.08.2025;3;0,0;31,07;True
05.08.2025;4;0,0;25,04;True
05.08.2025;5;0,0;59,97;True
05.08.2025;6;0,1472;81,11;True
05.08.2025;7;13,721599999999999;96,66;True
05.08.2025;8;98,1664;93,54;True
05.08.2025;9;245,32319999999999;73,11;True
05.08.2025;10;386,03679999999997;3,79;True
05.08.2025;11;461,11039999999997;0,0;True
05.08.2025;12;466,19039999999995;-1,82;False
05.08.2025;13;399,4032;-4,97;False
05.08.2025;14;432,2192;17,88;True
05.08.2025;15;440,99039999999997;-12,0;False
05.08.2025;16;450,71840000000003;3,26;True
05.08.2025;17;406,9872;60,22;True
05.08.2025;18;285,5488;94,91;True
05.08.2025;19;131,0208;110,84;True
05.08.2025;20;24,5872;147,2;True
05.08.2025;21;2,0416;178,23;True
05.08.2025;22;0,0;122,38;True
05.08.2025;23;0,0;107,74;True
05.08.2025;24;0,0;85,18;True
06.08.2025;1;0,0;76,25;True
06.08.2025;2;0,0;59,8;True
06.08.2025;3;0,0;67,07;True
06.08.2025;4;0,0;69,54;True
06.08.2025;5;0,0;66,87;True
06.08.2025;6;0,0;82,01;True
06.08.2025;7;12,174399999999999;95,58;True
06.08.2025;8;51,4624;97,35;True
06.08.2025;9;147,6912;84,0;True
06.08.2025;10;244,6592;27,83;True
06.08.2025;11;366,09759999999994;0,02;True
06.08.2025;12;373,5296;2,17;True
06.08.2025;13;409,808;10,42;True
06.08.2025;14;400,0048;12,04;True
06.08.2025;15;337,832;6,72;True
06.08.2025;16;323,13280000000003;30,04;True
06.08.2025;17;371,40639999999996;83,54;True
06.08.2025;18;280,4656;76,49;True
06.08.2025;19;121,968;102,65;True
06.08.2025;20;33,8656;132,25;True
06.08.2025;21;2,8768;177,87;True
06.08.2025;22;0,0;156,07;True
06.08.2025;23;0,0;110,0;True
06.08.2025;24;0,0;101,14;True
07.08.2025;1;0,0;97,37;True
07.08.2025;2;0,0;96,14;True
07.08.2025;3;0,0;90,09;True
07.08.2025;4;0,0;86,76;True
07.08.2025;5;0,0;87,69;True
07.08.2025;6;0,0;87,73;True
07.08.2025;7;14,8048;100,82;True
07.08.2025;8;84,8032;94,68;True
