CROPEX																																																																		
Dan unaprijed tržište																																																																		
Cijene i volumeni																																																																		
																																																																		
Sat	Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned					
	8/1/2025		8/2/2025		8/3/2025		8/4/2025		8/5/2025		8/6/2025		8/7/2025		8/8/2025		8/9/2025		8/10/2025		8/11/2025		8/12/2025		8/13/2025		8/14/2025		8/15/2025		8/16/2025		8/17/2025		8/18/2025		8/19/2025		8/20/2025		8/21/2025		8/22/2025		8/23/2025		8/24/2025		8/25/2025		8/26/2025		8/27/2025		8/28/2025		8/29/2025		8/30/2025		8/31/2025					
	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen				
	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]				
1	105.13	872.7	113.45	"1,175.00"	88.45	"1,293.60"	82.98	"1,110.30"	56.9	"1,240.40"	76.25	"1,452.10"	97.37	760.2	93.95	"1,036.90"	102.57	"1,185.90"	84.63	"1,485.60"	99.23	921.6	93	761.7	96.66	"1,047.80"	98.1	754.2	99.12	"1,388.70"	94.05	"1,334.40"	89.12	"1,554.90"	90.08	"1,019.60"	100.23	"1,200.20"	96.21	"1,237.00"	92.91	"1,407.20"	86.28	"1,162.70"	95.33	"1,192.70"	100.5	"1,148.10"	95.28	772.9	104.3	916.5	99.16	939	97.15	615.5	85.33	753	94.91	"1,086.90"	79.33	"1,229.50"				
2	98.22	867.4	98.74	"1,194.10"	77.65	"1,194.10"	70.07	985.7	16.02	"1,313.60"	59.8	"1,408.20"	96.14	730.2	90.05	996.3	101.72	"1,193.10"	82.85	"1,222.40"	91.15	989.4	89.67	897.2	90	984.6	92	772.1	97.86	"1,372.60"	89.21	"1,265.10"	82.84	"1,361.70"	84.76	987.2	93.03	"1,141.10"	91.25	"1,094.60"	82.37	"1,379.60"	78.05	"1,069.20"	89.32	"1,207.00"	95.11	"1,193.30"	87.03	701.7	101.92	922	90.25	909.8	92.14	669	87.26	776.1	89.66	"1,077.80"	70.31	"1,119.40"				
3	91.03	873.7	95.4	"1,207.10"	70.32	"1,293.30"	69.97	"1,007.20"	31.07	"1,273.30"	67.07	"1,364.80"	90.09	752.4	86.1	909	101.22	"1,170.90"	82.53	"1,138.30"	86.87	"1,107.80"	85.41	"1,041.70"	86.89	922.2	88.45	776.9	92.39	"1,318.60"	87.78	"1,257.40"	83.23	"1,320.10"	82.86	"1,135.50"	86.57	"1,103.10"	85.72	"1,106.00"	82.39	"1,267.40"	74.55	"1,049.20"	86.83	"1,155.90"	93.6	"1,155.00"	82.47	671.8	99.54	910.7	86.79	793.6	88.11	601	86.95	993.4	85.58	"1,138.80"	63.04	"1,138.30"				
4	87.03	887.8	89.65	996.9	70.26	"1,231.60"	69.22	"1,049.70"	25.04	"1,315.70"	69.54	"1,350.00"	86.76	729.3	82.91	865.8	98.2	"1,177.50"	77.28	"1,134.60"	84.4	"1,250.00"	84.77	"1,084.20"	84.71	877.5	87.49	797.5	88.03	"1,293.30"	82.19	"1,191.70"	81.8	"1,348.30"	80.8	"1,126.30"	84.39	"1,182.80"	83.78	"1,045.70"	84.56	"1,247.00"	72.72	"1,087.20"	84.25	"1,255.90"	91.16	"1,116.60"	79.42	695.3	98.28	958.1	88.61	790.9	88.7	541.2	88.26	"1,095.50"	81.51	"1,141.00"	59.39	"1,114.50"				
5	92.17	868.3	88.75	"1,078.10"	68.16	"1,146.80"	72.03	"1,014.70"	59.97	"1,287.60"	66.87	"1,341.20"	87.69	702.1	81.05	931.4	98.03	"1,177.60"	79.9	"1,121.60"	92.42	"1,301.50"	85.86	"1,026.00"	87.07	864.5	87.87	799.4	90.25	"1,270.60"	80.4	"1,198.60"	82.09	"1,391.50"	85.79	"1,155.80"	87.65	"1,139.20"	87.43	"1,052.10"	85.22	"1,283.80"	71.42	"1,085.70"	84.26	"1,217.30"	90.07	"1,104.70"	80.32	748.2	100.62	954.2	92.01	750.6	92.69	543.4	90.81	"1,051.70"	87.57	"1,229.10"	56.36	972				
6	100.26	862.3	88.5	"1,036.80"	62.25	"1,180.00"	92.12	"1,035.30"	81.11	"1,185.00"	82.01	"1,269.90"	87.73	915.2	91.3	920.7	98.12	"1,175.70"	82.8	"1,038.20"	103.5	"1,327.20"	93.86	"1,012.60"	91.93	845.2	96.01	973	93.79	"1,238.40"	83.14	"1,211.40"	83.04	"1,337.40"	96.17	"1,146.40"	99.85	"1,132.70"	96.23	"1,060.90"	99.21	"1,289.10"	81.78	"1,059.40"	84.71	"1,181.10"	90.31	"1,092.60"	99.35	740.7	101.03	"1,030.20"	99.92	780	96.57	576	99.3	"1,117.30"	93.42	"1,223.70"	70.44	"1,007.10"				
7	105.25	879.8	87.09	"1,002.50"	47.97	"1,083.60"	93.33	"1,125.70"	96.66	"1,097.90"	95.58	"1,311.60"	100.82	777.7	97.9	865	97.58	962.8	81.1	917.6	128.09	"1,283.00"	102.97	"1,201.80"	108.64	887.1	105.9	897.9	98.74	"1,021.50"	85.78	"1,174.50"	83.11	"1,224.50"	113.06	982.4	108.5	929	108.36	"1,127.50"	107.36	"1,008.10"	101.66	"1,144.70"	86.31	"1,071.80"	90	859	111.75	808.7	118.67	936.9	109.62	725.7	116.67	587.1	106.49	794.1	91.08	"1,181.20"	70.97	988.4				
8	109.17	903	82.45	991.7	26.27	"1,000.70"	101.16	"1,016.10"	93.54	"1,015.80"	97.35	"1,104.10"	94.68	718	95.75	767.4	85.68	965.9	69.45	"1,128.00"	114.44	"1,060.50"	98.34	975.4	103.52	816.4	105.63	817.4	99.04	963.3	85.93	"1,005.60"	73.53	"1,146.70"	118.01	927.2	108.1	760.9	106.68	971.1	107.95	878.8	102.94	"1,021.50"	86.72	810.4	84.62	856.2	120.82	937.7	119.75	957.6	115.37	585	120.32	707.8	109.36	847.8	92.6	"1,095.60"	67.08	"1,051.30"				
