Mjerno mjesto	Datum	Vrijeme	OBIS	Brojilo	Konstanta	Vrijednost snaga	Vrijednost energija	Status
 0497330635	01.08.2025	0:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	0:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	0:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	1:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	1:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	1:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	1:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	2:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	2:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	2:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	2:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	3:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	3:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	3:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	3:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	4:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	4:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	4:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	4:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	5:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	5:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	5:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	01.08.2025	5:45:00	LP: A-_T0	69051391	160	1,1136	0,2784	0
 0497330635	01.08.2025	6:00:00	LP: A-_T0	69051391	160	5,4144	1,3536	0
 0497330635	01.08.2025	6:15:00	LP: A-_T0	69051391	160	12,5696	3,1424	0
 0497330635	01.08.2025	6:30:00	LP: A-_T0	69051391	160	19,488	4,872	0
 0497330635	01.08.2025	6:45:00	LP: A-_T0	69051391	160	25,8752	6,4688	0
 0497330635	01.08.2025	7:00:00	LP: A-_T0	69051391	160	30,336	7,584	0
 0497330635	01.08.2025	7:15:00	LP: A-_T0	69051391	160	74,496	18,624	0
 0497330635	01.08.2025	7:30:00	LP: A-_T0	69051391	160	117,3312	29,3328	0
 0497330635	01.08.2025	7:45:00	LP: A-_T0	69051391	160	150,2208	37,5552	0
 0497330635	01.08.2025	8:00:00	LP: A-_T0	69051391	160	184,8832	46,2208	0
 0497330635	01.08.2025	8:15:00	LP: A-_T0	69051391	160	225,2416	56,3104	0
