Datum;Sat;Energija;Cijena;Status ukljucivanja
01.08.2025;1;0,0;105,13;True
01.08.2025;2;0,0;98,22;True
01.08.2025;3;0,0;91,03;True
01.08.2025;4;0,0;87,03;True
01.08.2025;5;0,0;92,17;True
01.08.2025;6;1,632;100,26;True
01.08.2025;7;22,0672;105,25;True
01.08.2025;8;131,7328;109,17;True
01.08.2025;9;293,0672;105,5;True
01.08.2025;10;348,8672;90,19;True
01.08.2025;11;483,1056;67,09;True
01.08.2025;12;479,0736;65,96;True
01.08.2025;13;475,1504;67,7;True
01.08.2025;14;482,60639999999995;65,73;True
01.08.2025;15;468,84159999999997;52,05;True
01.08.2025;16;470,3792;52,79;True
01.08.2025;17;385,7952;75,44;True
01.08.2025;18;249,99040000000002;89,71;True
01.08.2025;19;51,854400000000005;120,71;True
01.08.2025;20;14,729600000000001;133,95;True
01.08.2025;21;0,0704;153,4;True
01.08.2025;22;0,0;152,02;True
01.08.2025;23;0,0;129,18;True
01.08.2025;24;0,0;111,07;True
02.08.2025;1;0,0;113,45;True
02.08.2025;2;0,0;98,74;True
02.08.2025;3;0,0;95,4;True
02.08.2025;4;0,0;89,65;True
02.08.2025;5;0,0;88,75;True
02.08.2025;6;0,7952;88,5;True
02.08.2025;7;17,1904;87,09;True
02.08.2025;8;62,059200000000004;82,45;True
02.08.2025;9;177,4448;71,78;True
02.08.2025;10;220,91840000000002;50,86;True
02.08.2025;11;290,2688;29,68;True
02.08.2025;12;457,2304;5,68;True
02.08.2025;13;408,6896;2,95;True
02.08.2025;14;440,616;0,0;True
02.08.2025;15;266,736;0,0;True
02.08.2025;16;380,21919999999994;0,0;True
02.08.2025;17;231,3696;5,72;True
02.08.2025;18;154,0592;64,81;True
02.08.2025;19;20,407999999999998;96,19;True
02.08.2025;20;10,4464;115,38;True
02.08.2025;21;0,0208;138,39;True
02.08.2025;22;0,0;124,47;True
02.08.2025;23;0,0;110,86;True
02.08.2025;24;0,0;94,23;True
03.08.2025;1;0,0;88,45;True
03.08.2025;2;0,0;77,65;True
03.08.2025;3;0,0;70,32;True
03.08.2025;4;0,0;70,26;True
03.08.2025;5;0,0;68,16;True
03.08.2025;6;0,4928;62,25;True
03.08.2025;7;19,5168;47,97;True
03.08.2025;8;85,5456;26,27;True
03.08.2025;9;101,0144;6,16;True
03.08.2025;10;41,7472;0,0;True
03.08.2025;11;72,41120000000001;-1,01;False
03.08.2025;12;123,208;-2,1;False
03.08.2025;13;147,8592;-3,0;False
03.08.2025;14;378,86879999999996;-9,9;False
03.08.2025;15;386,17600000000004;-10,08;False
03.08.2025;16;331,7632;-4,98;False
03.08.2025;17;235,7824;-0,89;False
03.08.2025;18;225,1344;36,57;True
03.08.2025;19;132,7824;86,42;True
03.08.2025;20;27,784;94,72;True
03.08.2025;21;2,0736;121,79;True
03.08.2025;22;0,0;110,54;True
03.08.2025;23;0,0;105,08;True
03.08.2025;24;0,0;85,09;True
04.08.2025;1;0,0;82,98;True
04.08.2025;2;0,0;70,07;True
04.08.2025;3;0,0;69,97;True
04.08.2025;4;0,0;69,22;True
04.08.2025;5;0,0;72,03;True
04.08.2025;6;1,168;92,12;True
04.08.2025;7;26,088;93,33;True
04.08.2025;8;134,7728;101,16;True
04.08.2025;9;289,3728;95,29;True
04.08.2025;10;425,0928;85,68;True
04.08.2025;11;482,87519999999995;66,7;True
04.08.2025;12;467,0512;49,3;True
04.08.2025;13;465,4416;14,64;True
04.08.2025;14;421,46560000000005;4,05;True
04.08.2025;15;381,2;0,66;True
04.08.2025;16;344,69440000000003;39,66;True
04.08.2025;17;220,3296;67,06;True
04.08.2025;18;90,6304;95,51;True
04.08.2025;19;43,9264;118,6;True
04.08.2025;20;24,1008;149,52;True
04.08.2025;21;0,5648000000000001;164,97;True
04.08.2025;22;0,0;117,63;True
04.08.2025;23;0,0;99,52;True
04.08.2025;24;0,0;78,87;True
05.08.2025;1;0,0;56,9;True
05.08.2025;2;0,0;16,02;True
05.08.2025;3;0,0;31,07;True
05.08.2025;4;0,0;25,04;True
05.08.2025;5;0,0;59,97;True
05.08.2025;6;1,2256;81,11;True
05.08.2025;7;25,5504;96,66;True
05.08.2025;8;131,264;93,54;True
05.08.2025;9;284,3152;73,11;True
05.08.2025;10;410,52000000000004;3,79;True
05.08.2025;11;467,2096;0,0;True
05.08.2025;12;445,40160000000003;-1,82;False
05.08.2025;13;410,7792;-4,97;False
05.08.2025;14;430,8752;17,88;True
05.08.2025;15;447,3728;-12,0;False
05.08.2025;16;446,152;3,26;True
05.08.2025;17;385,4016;60,22;True
05.08.2025;18;247,85920000000002;94,91;True
05.08.2025;19;94,888;110,84;True
05.08.2025;20;14,847999999999999;147,2;True
05.08.2025;21;0,5504;178,23;True
05.08.2025;22;0,0;122,38;True
05.08.2025;23;0,0;107,74;True
05.08.2025;24;0,0;85,18;True
06.08.2025;1;0,0;76,25;True
06.08.2025;2;0,0;59,8;True
06.08.2025;3;0,0;67,07;True
06.08.2025;4;0,0;69,54;True
06.08.2025;5;0,0;66,87;True
06.08.2025;6;0,4336;82,01;True
06.08.2025;7;22,264;95,58;True
06.08.2025;8;75,0672;97,35;True
06.08.2025;9;163,5152;84,0;True
06.08.2025;10;277,5424;27,83;True
06.08.2025;11;392,7407999999999;0,02;True
06.08.2025;12;366,3392;2,17;True
06.08.2025;13;413,55359999999996;10,42;True
06.08.2025;14;371,6864;12,04;True
06.08.2025;15;345,0256;6,72;True
06.08.2025;16;345,1488;30,04;True
06.08.2025;17;348,65119999999996;83,54;True
06.08.2025;18;239,65760000000003;76,49;True
06.08.2025;19;93,0768;102,65;True
06.08.2025;20;21,7152;132,25;True
06.08.2025;21;0,5568000000000001;177,87;True
06.08.2025;22;0,0;156,07;True
06.08.2025;23;0,0;110,0;True
06.08.2025;24;0,0;101,14;True
07.08.2025;1;0,0;97,37;True
07.08.2025;2;0,0;96,14;True
07.08.2025;3;0,0;90,09;True
07.08.2025;4;0,0;86,76;True
07.08.2025;5;0,0;87,69;True
07.08.2025;6;0,5328;87,73;True
07.08.2025;7;26,784;100,82;True
07.08.2025;8;115,0048;94,68;True
07.08.2025;9;263,7376;47,38;True
